name,wmo-id,bom-id,tz,stn-name,stn-height,type,lat,lon,forecast-district-id,description,apparent_temp,delta_t,gust_kmh,wind_gust_spd,air_temperature,dew_point,pres,msl_pres,qnh_pres,rel-humidity,vis_km,wind_dir,wind_dir_deg,wind_spd_kmh,wind_spd,rainfall,rainfall_24hr,maximum_air_temperature,minimum_air_temperature,maximum_gust_spd,maximum_gust_kmh,maximum_gust_dir,cloud,cloud_oktas,cloud_base_m,cloud_type_id,weather,rain_hour,rain_ten
units,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Celsius,Celsius,km/h,knots,Celsius,Celsius,hPa,hPa,hPa,%,km,nan,deg,km/h,knots,mm,mm,Celsius,Celsius,knots,km/h,nan,nan,nan,m,nan,nan,mm,mm
station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIREYS INLET,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),17.5,4.4,15.0,8.0,19.2,11.2,,,,60.0,,SSE,168.0,11.0,6.0,0.0,0.0,20.0,8.4,11.0,20.0,SE,,,,,,,
ARARAT PRISON,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),1.8,0.6,,,3.5,2.0,1016.0,1016.0,,90.0,8.0,CALM,0.0,0.0,0.0,,0.3,,,,,,,,,,Fine,,
AVALON AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.1,5.6,22.0,12.0,21.3,11.1,1016.8,1016.8,1016.8,52.0,65.0,SE,134.0,19.0,10.0,0.0,0.0,21.5,6.4,20.0,37.0,ESE,Clear,0.0,,,,,
BAIRNSDALE AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),14.6,4.6,17.0,9.0,17.4,8.5,1017.9,1017.9,1018.0,56.0,42.0,E,84.0,13.0,7.0,0.0,0.0,17.7,9.5,13.0,24.0,E,Cloudy,8.0,,,,,
BALLARAT AERODROME,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.4,5.8,22.0,12.0,19.4,8.4,1016.0,1016.0,1016.8,49.0,74.0,SSW,198.0,19.0,10.0,0.0,0.0,20.5,4.1,21.0,39.0,SSW,Mostly cloudy,7.0,,,,,
BEN NEVIS,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.2,5.5,32.0,17.0,17.9,7.6,,,,51.0,,S,181.0,22.0,12.0,0.0,0.0,19.1,4.5,23.0,43.0,S,,,,,,,
BENALLA AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.5,5.5,,,16.9,5.6,1013.0,1013.0,,47.0,45.0,SSW,200.0,2.0,1.0,0.0,0.0,,,,,,Mostly clear,1.0,,30.0,Fine,,
BENDIGO AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.4,10.0,33.0,18.0,24.8,5.1,1013.5,1013.5,1014.1,28.0,39.0,SE,132.0,28.0,15.0,0.0,0.0,25.4,7.8,24.0,44.0,SE,Clear,0.0,,,,,
CAPE NELSON LIGHTHOUSE,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.7,1.7,28.0,15.0,16.7,13.6,1018.0,1018.0,1018.0,82.0,,W,265.0,22.0,12.0,0.2,0.0,18.0,12.7,22.0,41.0,W,,,,,,,
CAPE OTWAY LIGHTHOUSE,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.3,1.0,22.0,12.0,15.7,13.9,1013.4,1013.4,1017.9,89.0,,W,267.0,19.0,10.0,0.0,0.0,17.7,10.0,22.0,41.0,W,,,,,,,
CASHMORE AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.6,2.4,32.0,17.0,17.5,13.2,1018.0,1018.0,1018.1,76.0,44.0,WSW,243.0,26.0,14.0,0.0,0.0,19.1,8.4,22.0,41.0,W,Mostly cloudy,6.0,,,,,
CASTERTON,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.5,4.4,24.0,13.0,21.0,13.4,1016.7,1016.7,1017.0,62.0,,W,263.0,19.0,10.0,0.0,0.0,21.5,4.9,17.0,32.0,SW,,,,,,,
CASTLEMAINE PRISON,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),9.8,2.7,,,11.2,5.4,,,,67.0,30.0,S,180.0,2.0,1.0,0.0,0.0,,,,,,Clear,0.0,2500.0,,Fine,,
CERBERUS,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),16.9,5.8,15.0,8.0,19.4,8.1,1017.3,1017.3,,48.0,,SE,135.0,11.0,6.0,0.0,0.0,20.3,6.4,16.0,30.0,SW,,,,,,,
CHARLTON,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),22.6,11.0,19.0,10.0,26.3,4.7,1014.5,1014.5,1014.8,25.0,,S,178.0,13.0,7.0,0.0,0.0,27.5,8.2,19.0,35.0,SSW,,,,,,,
COLDSTREAM,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),17.1,7.4,20.0,11.0,21.4,6.9,1016.2,1016.2,1016.4,39.0,,SSE,161.0,19.0,10.0,0.0,0.0,22.4,3.2,17.0,32.0,SE,,,,,,,
COMBIENBAR AWS,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.3,3.1,0.0,0.0,15.4,9.5,1016.1,1016.1,,68.0,,CALM,0.0,0.0,0.0,0.0,0.6,15.6,8.1,4.0,7.0,NW,,,,,,,
DARTMOOR,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),17.9,3.5,19.0,10.0,19.6,13.5,1017.6,1017.6,,68.0,,SSW,195.0,15.0,8.0,0.0,0.0,21.1,7.8,15.0,28.0,SW,,,,,,,
DARTMOUTH RESERVOIR,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),6.2,3.6,,,13.4,6.0,,,,61.0,50.0,SSE,160.0,33.0,18.0,0.0,0.0,,,,,,Clear,0.0,2500.0,,Fine,,
EAST SALE AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),18.2,5.9,7.0,4.0,19.7,8.4,1017.5,1017.5,1017.2,48.0,61.0,SE,130.0,6.0,3.0,0.0,0.2,20.2,9.8,14.0,26.0,ENE,Partly cloudy,4.0,,,,,
ECHUCA AERODROME,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),9.7,5.5,,,16.5,5.0,1015.3,1015.3,,46.0,30.0,S,180.0,30.0,16.0,0.0,0.0,,,,,,Clear,0.0,2500.0,,,,
EDENHOPE AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),19.7,7.3,19.0,10.0,23.0,9.7,,,,42.0,,SSW,193.0,17.0,9.0,0.0,0.0,23.2,4.3,16.0,30.0,SW,,,,,,,
EILDON FIRE TOWER,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),16.7,8.2,22.0,12.0,21.4,5.3,,,,35.0,,W,259.0,19.0,10.0,0.0,0.0,22.1,6.8,18.0,33.0,WSW,,,,,,,
ESSENDON AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.8,6.7,32.0,17.0,21.1,8.4,1016.5,1016.5,1016.7,44.0,45.0,SSE,162.0,26.0,14.0,0.0,0.0,21.6,9.4,21.0,39.0,S,Clear,0.0,,,,,
FALLS CREEK,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),12.2,2.9,2.0,1.0,12.8,7.3,1012.1,1012.1,1018.4,69.0,,CALM,0.0,0.0,0.0,0.0,1.0,13.7,1.5,16.0,30.0,SSE,,,,,,,
FAWKNER BEACON,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),,,22.0,12.0,,,,,,,,S,177.0,19.0,10.0,,,,,15.0,28.0,SSW,,,,,,,
